                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1688,                0.48683,                0.36762,                0.99615,                 1.1591,                0.72596,                0.76923,                0.80709,                0.51052,                0.76336,                0.80769,                0.88206,                0.81748,                 1.2349,                0.67751,                0.17197,                0.99671,                 1.2356,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.0776,                0.45173,                0.36812,                0.95054,                 1.1344,                0.83954,                0.80502,                0.88816,                 0.5773,                0.83625,                0.88462,                0.93071,                0.85189,                 1.2342,                0.68976,                0.12489,                0.92449,                 1.3477,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.1064,                0.48824,                0.35969,                0.89164,                 1.1361,                0.91554,                0.88462,                0.93213,                0.63503,                0.95852,                0.92308,                 0.9638,                0.90191,                 1.0885,                0.55791,                 0.1444,                0.76887,                 1.0318,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.0873,                0.41648,                0.37479,                0.90168,                 1.1219,                0.88723,                0.92308,                0.92934,                0.68869,                0.92472,                0.96154,                0.97885,                0.93529,                 1.0457,                0.45532,                0.11767,                0.75379,                 1.0428,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.0911,                0.48358,                0.36046,                0.87583,                 1.1553,                 0.9224,                0.91461,                0.93842,                0.70242,                 0.9224,                0.91461,                0.96272,                0.93051,                0.98267,                0.50973,                0.09213,                0.74692,                 1.0154,                0.00167,                0.00167,                0.00167
                     27,                 1.0909,                0.39577,                0.36888,                0.86326,                 1.1386,                 0.9337,                0.84615,                0.91479,                0.67198,                 0.9337,                0.84615,                0.94293,                0.91984,                 1.0541,                0.44679,                0.13348,                0.82113,                 1.0652,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.1442,                0.36394,                0.37486,                0.88052,                 1.1404,                0.91897,                0.87271,                0.89134,                0.65159,                      1,                0.94024,                 0.9919,                 0.9468,                 1.0776,                0.44448,                0.11452,                0.79414,                 1.0709,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.0681,                0.42234,                0.33741,                0.88698,                 1.1223,                0.80186,                0.84615,                0.85028,                0.62976,                0.86065,                0.88462,                0.93664,                0.89119,                 1.1206,                0.51034,                0.08703,                0.89144,                 1.1259,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.0836,                0.38329,                0.34142,                0.86411,                 1.0971,                0.89778,                0.88462,                0.92951,                0.66343,                0.95584,                0.83294,                0.95394,                0.89695,                 1.1299,                0.48571,                0.07874,                0.77691,                 1.1077,              0.0016172,              0.0016172,              0.0016172
                     31,                0.98344,                0.44222,                0.33194,                0.82745,                  1.058,                0.91959,                0.87989,                0.89044,                0.61233,                      1,                0.95487,                0.98938,                0.96693,                 1.1148,                0.39182,                0.13966,                0.73026,                 1.0767,               0.001604,               0.001604,               0.001604
                     32,                0.97724,                0.34274,                0.28142,                0.82322,                  1.073,                0.86039,                0.94843,                0.92632,                0.66426,                0.99304,                0.96154,                 0.9919,                0.96982,                 1.0153,                0.33959,                0.12795,                0.65716,                 1.0208,              0.0015908,              0.0015908,              0.0015908
