                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1882,                0.42918,                0.33212,                0.99376,                 1.1702,                0.86023,                0.83174,                0.90813,                0.62862,                0.86857,                0.89304,                0.94356,                0.89973,                  1.173,                0.63189,                0.17372,                  0.817,                 1.1419,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.2004,                0.42741,                0.31948,                   1.01,                 1.1828,                0.80964,                0.77027,                0.84578,                0.57076,                0.87448,                0.77027,                0.90009,                 0.8355,                 1.3086,                0.85903,                0.09171,                0.90617,                 1.3181,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.1978,                0.50247,                 0.3189,                 1.0464,                 1.1876,                0.92315,                0.81163,                0.92934,                0.61868,                0.88244,                0.83784,                0.92095,                0.88298,                 1.2533,                0.79218,                 0.0873,                0.89073,                 1.2276,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.1189,                0.41254,                0.27503,                0.94976,                  1.128,                0.96381,                0.83784,                0.91933,                0.61535,                0.96381,                0.83784,                0.93863,                0.90376,                 1.3164,                0.61902,                0.15091,                0.87494,                 1.2789,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.1411,                0.38129,                0.26388,                0.93487,                 1.1459,                0.86195,                0.84377,                0.89074,                0.59672,                0.84312,                0.87157,                0.91216,                0.87257,                 1.1904,                0.83181,                 0.1365,                0.92785,                 1.2185,                0.00167,                0.00167,                0.00167
                     27,                 1.1737,                0.39637,                0.27518,                0.95783,                 1.1707,                  0.923,                 0.8099,                0.90817,                0.62482,                  0.923,                 0.8099,                0.92664,                0.87803,                 1.2146,                0.86084,                0.16584,                 0.8894,                 1.1466,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.1254,                0.43201,                0.28009,                 0.9542,                 1.1469,                0.83985,                0.85041,                0.89243,                0.60558,                0.83985,                0.85041,                0.92857,                0.86736,                 1.1364,                0.58159,                0.07331,                0.82359,                 1.1955,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.1191,                0.43901,                0.23831,                0.94186,                 1.1433,                0.93162,                0.75676,                0.86077,                0.63082,                0.87264,                 0.7973,                0.89054,                0.83264,                 1.1377,                0.65589,                0.10472,                 1.1342,                 1.1632,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.0859,                0.36808,                0.22044,                0.90416,                 1.1161,                0.87463,                0.84848,                0.90207,                0.61522,                0.88851,                0.86159,                0.91466,                0.87742,                 1.1722,                0.84332,                0.09958,                0.82147,                 1.2028,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.0741,                0.39765,                   0.23,                 0.9027,                 1.1105,                0.92465,                0.82917,                0.92826,                0.64179,                0.92448,                 0.8272,                0.92594,                0.89807,                 1.2182,                0.69805,                0.11379,                0.80163,                 1.1828,               0.001604,               0.001604,               0.001604
