epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,374.658,1.54872,0.90271,1.29783,0.96274,0.94683,0.98889,0.59895,1.39856,0.73817,1.22244,0.00120491,0.00120491,0.00120491
44,381.998,1.55843,0.88414,1.2908,0.97123,0.87699,0.96709,0.60344,1.32224,0.73278,1.20599,0.00119391,0.00119391,0.00119391
45,390.277,1.5159,0.85223,1.2762,0.96754,0.94178,0.98355,0.6455,1.25875,0.69854,1.17622,0.0011829,0.0011829,0.0011829
46,397.667,1.49379,0.8376,1.26983,0.95883,0.90932,0.9829,0.67923,1.19601,0.66604,1.15177,0.0011719,0.0011719,0.0011719
47,405.601,1.54965,0.83464,1.28739,0.986,0.91485,0.98919,0.63656,1.29741,0.71891,1.18664,0.0011609,0.0011609,0.0011609
48,413.828,1.55392,0.88712,1.28701,0.99917,0.93145,0.99238,0.6093,1.38766,0.71898,1.22156,0.0011499,0.0011499,0.0011499
49,421.144,1.51845,0.85423,1.26494,0.97792,0.91191,0.9867,0.66574,1.26269,0.6659,1.17948,0.00113889,0.00113889,0.00113889
50,429.497,1.52491,0.82385,1.26655,0.95564,0.93573,0.97252,0.64573,1.26831,0.73627,1.19776,0.00112789,0.00112789,0.00112789
51,436.908,1.49907,0.83321,1.26618,0.95313,0.94656,0.98867,0.68681,1.2065,0.69096,1.16149,0.00111689,0.00111689,0.00111689
52,444.939,1.50728,0.81775,1.25107,0.97498,0.95544,0.9897,0.62138,1.3104,0.71237,1.19847,0.00110589,0.00110589,0.00110589
53,453.302,1.47248,0.8091,1.22705,0.95581,0.97943,0.99205,0.64812,1.3008,0.6508,1.17597,0.00109489,0.00109489,0.00109489
54,460.636,1.46165,0.80646,1.22821,0.94912,0.95092,0.98772,0.66992,1.22164,0.64405,1.15932,0.00108388,0.00108388,0.00108388
55,468.907,1.49132,0.82368,1.27881,0.96374,0.94749,0.98887,0.6621,1.24472,0.66214,1.16769,0.00107288,0.00107288,0.00107288
56,476.101,1.45209,0.80567,1.24703,0.97702,0.9609,0.99162,0.6081,1.3571,0.67092,1.20573,0.00106188,0.00106188,0.00106188
57,484.204,1.45613,0.80083,1.26793,0.93565,0.94423,0.98451,0.65877,1.26298,0.64748,1.18004,0.00105088,0.00105088,0.00105088
58,492.357,1.46562,0.7968,1.24641,0.94965,0.94164,0.98822,0.67852,1.20661,0.67612,1.15195,0.00103987,0.00103987,0.00103987
59,499.632,1.49748,0.80758,1.2532,0.96969,0.97177,0.98731,0.6904,1.19318,0.67055,1.15163,0.00102887,0.00102887,0.00102887
60,507.901,1.47371,0.78598,1.21693,0.9891,0.98279,0.99457,0.69655,1.18094,0.61005,1.14456,0.00101787,0.00101787,0.00101787
61,515.218,1.43653,0.77735,1.22749,0.97815,0.94677,0.99095,0.68252,1.2162,0.62438,1.15528,0.00100687,0.00100687,0.00100687
62,523.385,1.42054,0.76965,1.22231,0.98751,0.98414,0.99422,0.682,1.15425,0.6109,1.13871,0.000995866,0.000995866,0.000995866
63,531.727,1.45439,0.77988,1.23848,0.96799,0.98319,0.99444,0.67237,1.30342,0.62412,1.17703,0.000984864,0.000984864,0.000984864
64,539.037,1.47607,0.80823,1.23674,0.9885,0.96759,0.99426,0.67111,1.24735,0.62204,1.15911,0.000973861,0.000973861,0.000973861
65,547.373,1.48383,0.79555,1.23972,0.92628,0.90646,0.94754,0.6073,1.39289,0.78338,1.23928,0.000962859,0.000962859,0.000962859
66,554.652,1.47187,0.80266,1.2654,0.98745,0.99454,0.9947,0.66091,1.25651,0.60662,1.15771,0.000951857,0.000951857,0.000951857
67,562.882,1.45297,0.78388,1.23733,0.99252,0.98433,0.99402,0.68104,1.212,0.64145,1.14939,0.000940855,0.000940855,0.000940855
